,year,AverageTemperature,Product
0,1950,17.018250000000002,253.7
1,1951,16.555750000000003,343.0
2,1952,17.210749999999997,300.9
3,1953,17.80725,296.0
4,1954,16.416,419.6
5,1955,16.802500000000002,427.3
6,1956,15.88225,429.1
7,1957,16.1535,375.4
8,1958,17.22925,432.0
9,1959,17.13275,397.0
10,1960,17.161,357.0
11,1961,18.093,160.2
12,1962,17.07775,220.7
13,1963,16.2265,263.5
14,1964,16.6365,237.0
15,1965,16.79175,357.0
16,1966,17.287750000000003,408.5
17,1967,17.69,408.5
18,1968,17.84325,425.0
19,1969,16.842,393.0
20,1970,15.844750000000001,450.0
21,1971,16.459000000000003,460.5
22,1972,17.11425,556.0
23,1973,17.169500000000003,615.5
24,1974,17.34375,640.5
25,1975,17.1385,713.0
26,1976,16.247750000000003,797.0
27,1977,17.5455,635.5
28,1978,17.8575,868.0
29,1979,16.65675,969.0
30,1980,16.1325,890.5
31,1981,17.93675,1083.5
32,1982,17.31125,1220.0
33,1983,17.00075,1455.5
34,1984,16.633750000000003,1653.0
35,1985,16.439500000000002,1528.2
36,1986,17.61575,1567.9
37,1987,16.10475,1626.0
38,1988,16.8355,1521.0
39,1989,16.72925,1695.1
40,1990,16.97825,1639.9
41,1991,15.812999999999999,1554.3
42,1992,16.78325,1650.7
43,1993,16.885,1922.0
44,1994,17.875500000000002,1798.4
45,1995,17.55075,1754.2
46,1996,16.574,2026.76
47,1997,18.006249999999998,2372.35
48,1998,17.475,2073.53
49,1999,17.57975,2291.46
50,2000,18.807,2235.95
51,2001,18.49575,2299.71
52,2002,18.14525,2248.39
53,2003,17.1605,2292.5
54,2004,18.39275,2480.93
55,2005,18.56075,2577.69
56,2006,18.7645,2936.5
57,2007,18.494,2958.31
58,2008,18.50775,3036.2
59,2009,18.250999999999998,3092.2
60,2010,16.939500000000002,3121.0
61,2011,18.218,3144.9
62,2012,18.426000000000002,3223.07
63,2013,18.16175,3266.33
